geoid,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
01063,100502,0,0.039,0.0,42.318882,-72.63853,2017
01066,1842125,117510,0.711,0.045,42.406909000000006,-72.655015,2017
01068,53925827,1033076,20.820999999999998,0.39899999999999997,42.350862,-72.044248,2017
01069,72720237,751921,28.076999999999998,0.29,42.188862,-72.30648000000001,2017
01070,53343558,596478,20.596,0.23,42.518446000000004,-72.91901700000001,2017
01071,40311508,814201,15.564,0.314,42.160064,-72.87384,2017
01072,51988078,1360921,20.073,0.525,42.456967999999996,-72.417244,2017
01073,72914120,2084351,28.151999999999997,0.805,42.226949,-72.74158800000001,2017
01074,220751,52379,0.085,0.02,42.387603000000006,-72.09323,2017
01075,45886333,1773572,17.717,0.685,42.256208,-72.58103,2017
01077,79829512,2141671,30.822,0.8270000000000001,42.05257,-72.777353,2017
01079,2928117,101938,1.131,0.039,42.194344,-72.328868,2017
01080,4472228,256694,1.7269999999999999,0.099,42.185727,-72.361558,2017
01081,37594969,564877,14.515,0.218,42.061313,-72.234411,2017
01082,119451476,16197982,46.12,6.254,42.293533000000004,-72.278599,2017
01083,40799098,156565,15.753,0.06,42.203641999999995,-72.194599,2017
01084,23799816,221546,9.189,0.086,42.39237,-72.882235,2017
01085,154634290,2962351,59.705,1.1440000000000001,42.153503,-72.771602,2017
01086,96152,0,0.037000000000000005,0.0,42.130446,-72.79396700000001,2017
01088,13457389,36980,5.196000000000001,0.013999999999999999,42.391709000000006,-72.64649399999999,2017
01089,43321909,2076137,16.727,0.802,42.125451,-72.649734,2017
01092,17375639,80681,6.709,0.031,42.191868,-72.235108,2017
01093,13060370,16677,5.043,0.006,42.441943,-72.661817,2017
01094,2957301,172820,1.1420000000000001,0.067,42.359108,-72.1368,2017
01095,58261400,746635,22.495,0.28800000000000003,42.138498999999996,-72.420715,2017
01096,82011336,533919,31.665,0.20600000000000002,42.397138,-72.763554,2017
01097,4852535,208842,1.874,0.081,42.178038,-72.832612,2017
01098,81230325,385282,31.363000000000003,0.149,42.394315,-72.943115,2017
