state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
IL,1733720,Ridgewood Community High School District 234,9,12,6948668,0,2.6830000000000003,0.0,41.962738,-87.816677,2017
IL,1734020,Riverside Brookfield Township School District 208,9,12,16040750,89901,6.193,0.035,41.835009,-87.83341899999999,2017
IL,1734290,Rochelle Township High School District 212,9,12,563436813,642848,217.544,0.248,41.943689,-89.04396700000001,2017
IL,1734380,Rock Falls Township High School District 301,9,12,208649618,6219973,80.56,2.4019999999999997,41.726308,-89.68039,2017
IL,1735190,Salem Community High School District 600,9,12,664963080,2843961,256.744,1.0979999999999999,38.596883,-88.86925500000001,2017
IL,1735850,Seneca Township High School District 160,9,12,563131970,12017434,217.426,4.64,41.259201000000004,-88.55256800000001,2017
IL,1737140,St. Anne Community High School District 302,9,12,346671907,1059283,133.851,0.409,41.031484000000006,-87.672777,2017
IL,1737410,St. Joseph-Ogden Community High School District 305,9,12,312389492,839091,120.61399999999999,0.324,40.146184000000005,-88.039325,2017
IL,1738100,Streator Township High School District 40,9,12,315401909,95539,121.777,0.037000000000000005,41.157575,-88.787785,2017
IL,1738940,Thornton Fractional Township High School District 215,9,12,39272037,534253,15.163,0.20600000000000002,41.585621,-87.54457099999999,2017
IL,1738970,Thornton Township High School District 205,9,12,88243812,1278755,34.071,0.494,41.608374,-87.622557,2017
IL,1739870,United Township High School District 30,9,12,98993003,7861351,38.221,3.035,41.516062,-90.390778,2017
IL,1740290,Vienna High School District 133,9,12,752812924,7253709,290.663,2.801,37.443815,-88.865848,2017
IL,1740440,Community High School District 94,9,12,81297569,2327044,31.389,0.898,41.879373,-88.203345,2017
IL,1740800,Warren Township High School District 121,9,12,132294807,2670830,51.07899999999999,1.031,42.389716,-87.945887,2017
IL,1740980,Washington Community High School District 308,9,12,139072298,44696,53.696000000000005,0.017,40.704287,-89.414084,2017
IL,1741370,Webber Township High School District 204,9,12,220918126,979185,85.29700000000001,0.37799999999999995,38.370206,-88.75319300000001,2017
