state,geoid,ansi_code,name,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
IA,19197,465287,Wright County,1503286935,4703964,580.422,1.8159999999999998,42.733007,-93.734735,2017
KS,20001,484970,Allen County,1295762491,13023677,500.29699999999997,5.0280000000000005,37.884228,-95.300945,2017
KS,20003,484971,Anderson County,1501277564,10586104,579.6469999999999,4.087,38.215114,-95.292046,2017
KS,20005,484972,Atchison County,1116736559,6851102,431.17400000000004,2.645,39.532544,-95.313397,2017
KS,20007,484973,Barber County,2937248475,5403867,1134.078,2.086,37.222906,-98.685052,2017
KS,20009,484974,Barton County,2318718654,13913626,895.262,5.372000000000001,38.481239,-98.767837,2017
KS,20011,484975,Bourbon County,1645861891,9377598,635.471,3.6210000000000004,37.8561,-94.850928,2017
KS,20013,484976,Brown County,1478550074,3196147,570.871,1.234,39.825931,-95.569905,2017
KS,20015,484977,Butler County,3703330875,43157337,1429.864,16.663,37.773649,-96.83884,2017
KS,20017,484978,Chase County,2002208724,12087996,773.057,4.667,38.299475,-96.594029,2017
KS,20019,484979,Chautauqua County,1654694139,15243783,638.881,5.886,37.154259,-96.245396,2017
KS,20021,484980,Cherokee County,1521791027,8951473,587.567,3.4560000000000004,37.169391999999995,-94.845698,2017
KS,20023,484981,Cheyenne County,2641501922,2738021,1019.89,1.057,39.789916999999996,-101.727325,2017
KS,20025,484982,Clark County,2524300311,6603384,974.638,2.55,37.233831,-99.813869,2017
KS,20027,484983,Clay County,1671314205,26701337,645.298,10.309000000000001,39.344964000000004,-97.168853,2017
KS,20029,484984,Cloud County,1852726628,6859887,715.342,2.6489999999999996,39.487328999999995,-97.64139,2017
KS,20031,484985,Coffey County,1623624044,70470775,626.885,27.209,38.23645,-95.729137,2017
KS,20033,484986,Comanche County,2041681113,3604155,788.298,1.392,37.181442,-99.251293,2017
KS,20035,484987,Cowley County,2915648172,17322934,1125.738,6.688,37.234507,-96.83724699999999,2017
KS,20037,484988,Crawford County,1527463453,13609414,589.757,5.255,37.505821000000005,-94.853897,2017
KS,20039,484989,Decatur County,2314199314,1631670,893.5169999999999,0.63,39.783542,-100.45970799999999,2017
KS,20041,484990,Dickinson County,2193894222,12632461,847.067,4.877,38.867734999999996,-97.157943,2017
KS,20043,484991,Doniphan County,1019094906,12434954,393.475,4.801,39.788502,-95.147225,2017
