geoid,name,urban_area_type,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
03817,"Atlanta, GA Urbanized Area",U,6850603579,94478701,2645.033,36.478,33.824102,-84.331858,2017
03844,"Atlanta, TX Urban Cluster",C,19354421,101572,7.473,0.039,33.125525,-94.167911,2017
03871,"Atlantic, IA Urban Cluster",C,7301327,72792,2.819,0.027999999999999997,41.400420000000004,-95.007871,2017
03898,"Atlantic City, NJ Urbanized Area",U,325875158,11758124,125.821,4.54,39.371078999999995,-74.590533,2017
03925,"Atmore, AL Urban Cluster",C,12225383,40082,4.72,0.015,31.021931,-87.487418,2017
03957,"Atoka, TN Urban Cluster",C,53336826,204780,20.593000000000004,0.079,35.428823,-89.802973,2017
03979,"Attica, IN Urban Cluster",C,10137002,85101,3.9139999999999997,0.033,40.29083,-87.26989300000001,2017
04006,"Attica, NY Urban Cluster",C,5826786,0,2.25,0.0,42.873714,-78.271755,2017
04021,"Aubrey, TX Urban Cluster",C,6098799,2579,2.355,0.001,33.288094,-96.989684,2017
04033,"Auburn, AL Urbanized Area",U,129340400,885274,49.93899999999999,0.342,32.614294,-85.44393199999999,2017
04054,"Auburn, IL Urban Cluster",C,5214355,0,2.013,0.0,39.590007,-89.749542,2017
04060,"Auburn, IN Urban Cluster",C,30213089,0,11.665,0.0,41.369655,-85.070758,2017
04087,"Auburn, NE Urban Cluster",C,5204595,0,2.01,0.0,40.38848,-95.843424,2017
04114,"Auburn, NY Urban Cluster",C,33428832,239529,12.907,0.092,42.926811,-76.561994,2017
04130,"Auburn--North Auburn, CA Urban Cluster",C,69198120,261127,26.718000000000004,0.10099999999999999,38.932512,-121.07966499999999,2017
04168,"Augusta, KS Urban Cluster",C,10633840,690960,4.106,0.267,37.69194,-96.97319300000001,2017
04195,"Augusta, ME Urban Cluster",C,44907267,724962,17.339000000000002,0.28,44.265178999999996,-69.782239,2017
04222,"Augusta-Richmond County, GA--SC Urbanized Area",U,672711450,6759556,259.735,2.61,33.487951,-81.996378,2017
04249,"Aumsville, OR Urban Cluster",C,2979867,0,1.151,0.0,44.845015999999994,-122.866978,2017
04276,"Aurora, MO Urban Cluster",C,15212085,39864,5.872999999999999,0.015,36.967117,-93.730413,2017
04303,"Aurora, NE Urban Cluster",C,5464043,14529,2.11,0.006,40.867831,-98.003674,2017
04330,"Au Sable, MI Urban Cluster",C,27109077,628627,10.467,0.243,44.45283,-83.346783,2017
04357,"Austin, MN Urban Cluster",C,31664335,254097,12.225999999999999,0.098,43.671232,-92.97788299999999,2017
04384,"Austin, TX Urbanized Area",U,1355711206,10911407,523.443,4.213,30.358514000000003,-97.761533,2017
04411,"Ava, MO Urban Cluster",C,5412263,1126,2.09,0.0,36.954458,-92.661589,2017
04438,"Avalon, CA Urban Cluster",C,3435130,0,1.3259999999999998,0.0,33.341590999999994,-118.328722,2017
04465,"Avenal, CA Urban Cluster",C,7912976,0,3.055,0.0,35.993168,-120.126356,2017
04519,"Avon, NY Urban Cluster",C,10085520,0,3.8939999999999997,0.0,42.899102,-77.741633,2017
04549,"Avondale--Goodyear, AZ Urbanized Area",U,227212273,833470,87.727,0.322,33.472716999999996,-112.399026,2017
04573,"Avra Valley, AZ Urban Cluster",C,10127105,0,3.91,0.0,32.42773,-111.32668100000001,2017
04587,"Aztec, NM Urban Cluster",C,16349046,302610,6.312,0.11699999999999999,36.833998,-107.99601299999999,2017
04600,"Bad Axe, MI Urban Cluster",C,6468027,0,2.497,0.0,43.802505,-82.997959,2017
04627,"Bainbridge, GA Urban Cluster",C,26713204,650992,10.314,0.251,30.90486,-84.564687,2017
04654,"Baker City, OR Urban Cluster",C,13005425,178981,5.021,0.069,44.783476,-117.82876999999999,2017
04681,"Bakersfield, CA Urbanized Area",U,358527408,2308942,138.428,0.8909999999999999,35.362282,-119.03055900000001,2017
04708,"Bald Knob, AR Urban Cluster",C,5966043,0,2.3040000000000003,0.0,35.31222,-91.574315,2017
04762,"Baldwin, WI Urban Cluster",C,9558724,0,3.6910000000000003,0.0,44.975947,-92.428301,2017
04789,"Baldwin City, KS Urban Cluster",C,5321146,4437,2.055,0.002,38.777506,-95.18748000000001,2017
